State,Geo_Political_Zones,Terrorism,Banditry,Murder,Armed_Robbery,Kidnapping,Other,Cluster,Risk_Level
Kogi,North Central,2,2,32,1,97,15,1,Low Risk
Benue,North Central,2,2,52,6,11,12,1,Low Risk
Nasarawa,North Central,1,2,17,8,43,11,1,Low Risk
Kwara,North Central,1,2,14,4,33,4,1,Low Risk
Plateau,North Central,5,2,230,14,119,65,0,High Risk
FCT,North Central,2,2,43,22,132,112,0,High Risk
Niger,North Central,2,15,48,7,41,21,1,Low Risk
Taraba,North East,1,1,155,10,200,25,0,High Risk
Adamawa,North East,1,2,29,3,39,19,1,Low Risk
Bauchi,North East,2,2,14,1,22,6,1,Low Risk
Yobe,North East,5,1,18,2,11,17,1,Low Risk
Gombe,North East,2,1,30,10,74,28,1,Low Risk
Borno,North East,58,2,99,8,62,25,3,Moderate Risk
Kaduna,North West,1,28,139,14,310,71,2,Extreme Risk
Kebbi,North West,2,12,91,2,84,22,1,Low Risk
Kano,North West,2,2,35,8,17,39,1,Low Risk
Katsina,North West,18,35,46,2,133,24,2,Extreme Risk
Jigawa,North West,2,2,35,8,5,1,1,Low Risk
Sokoto,North West,1,11,33,2,50,8,1,Low Risk
Zamfara,North West,3,27,73,1,160,19,2,Extreme Risk
Anambra,South East,12,2,21,8,17,18,1,Low Risk
Ebonyi,South East,6,1,14,1,10,22,1,Low Risk
Enugu,South East,6,2,60,17,99,64,0,High Risk
Abia,South East,2,2,36,17,32,52,0,High Risk
Imo,South East,9,2,38,8,33,23,1,Low Risk
Cross River,South South,2,2,11,3,17,9,1,Low Risk
Akwa Ibom,South South,2,2,24,5,7,23,1,Low Risk
Rivers,South South,1,2,14,15,39,23,1,Low Risk
Delta,South South,2,2,16,11,47,19,1,Low Risk
Bayelsa,South South,2,2,17,5,9,20,1,Low Risk
Edo,South South,1,1,79,14,97,61,0,High Risk
Oyo,South West,1,1,64,31,16,62,0,High Risk
Ogun,South West,2,2,12,13,15,13,1,Low Risk
Ondo,South West,2,2,25,5,20,39,1,Low Risk
Osun,South West,1,2,38,15,30,27,1,Low Risk
Lagos,South West,1,2,35,32,4,105,0,High Risk
Ekiti,South West,2,2,36,11,14,37,1,Low Risk
