Terrorism,Banditry,Murder,Armed Robbery,Kidnapping,Other
,28,7,97,15,0
,,110,19,18,0
,,27,11,18,0
,,38,8,20,0
,,71,10,49,0
,1,84,24,72,0
,22,92,40,93,0
2,,36,14,24,0
,,4,,1,0
,,,,,0
,,,,,0
,,10,1,3,0
38,0,36,6,6,0
10,94,211,35,228,0
,27,55,15,36,0
,,3,6,4,0
,,,,,0
,,11,2,9,0
1,11,33,2,50,0
2,14,67,15,40,0
17,2,50,6,8,0
2,1,24,7,5,0
22,2,45,34,30,0
2,,34,13,27,0
8,1,62,28,38,0
,,10,6,10,0
,,17,6,4,0
,,42,24,30,0
,,70,59,39,0
,,29,18,18,0
,120,44,127,,0
,,178,102,56,0
,,16,11,16,0
,,,,1,0
,,45,14,9,0
,,62,14,2,0
,,27,11,24,0
